,caesar (ms),karatsuba (ms),school (ms),
223,6224.2,2324.2,21,
224,6318.8,2351.4,21.4,
225,6416.8,2379.8,21.8,
226,6510.6,2408.8,22.4,
227,6606,2437.6,22.8,
228,6706.4,2466,23.6,
229,6804.4,2495,24.2,
230,6904.2,2523.8,24.8,
231,7004.4,2552.8,25.4,
232,7106.4,2582,26.4,
233,7209.6,2611.8,26.6,
234,7316.6,2641,26.8,
235,7429.4,2671.4,26.8,
236,7537.4,2701,27.4,
237,7645.6,2731.2,28,
238,7755.6,2761.2,29,
239,7868,2791.6,29,
240,7981.4,2824,29.8,
241,8095.4,2855.8,29.8,
242,8212.6,2886.4,30.6,
243,8338,2921.4,31.4,
244,8466.8,2957.2,32,
245,8585.6,2989.4,32.6,
246,8714.6,3024.6,33.8,
247,8840,3056.8,34.4,
248,8963.8,3090.6,34.8,
249,9089.6,3124.8,35.2,
250,9216.4,3158.8,35.6,
251,9345.4,3192.8,35.6,
252,9477.2,3225.6,36,
253,9614.4,3262.2,37,
254,9755.6,3298.2,37.8,
255,9894.8,3333.6,38.6,
256,10033.6,3367.2,39.8,
257,10169.8,3402.6,40.4,
258,10305.8,3438.4,41.4,
259,10443.6,3473.2,42.4,
260,10581.4,3509.8,43.4,
261,10720.6,3546,44.2,
262,10858.2,3586.2,45,
263,10995.6,3622.6,45.8,
264,11133.8,3658.8,46.4,
265,11271,3696,47,
266,11408.8,3733,47.6,
267,11547,3770.4,48.2,
268,11683.8,3809.2,49.2,
269,11823.8,3847.2,50,
270,11962.2,3887.4,50.6,
271,12100.8,3926.6,51.8,
272,12240.6,3966.2,52.8,
273,12379,4008.2,53.2,
274,12518.2,4048,54.2,
275,12656.8,4090,55,
276,12797.8,4133.2,56.2,
277,12941.6,4175,56.8,
278,13083,4216.2,58,
279,13223,4258.4,59,
280,13363.4,4301.8,59.8,
281,13506.2,4345,61,
282,13650.2,4388,62.6,
283,13793,4432,63.2,
284,13936.6,4475,65,
285,14079.8,4518.6,65.8,
286,14230.4,4564,67.4,
287,14379.6,4608.4,68.8,
288,14526.8,4654.8,69.8,
289,14670.4,4699.6,71.4,
290,14814.4,4745.4,72.4,
291,14959.4,4790.4,73.2,
292,15107.6,4835.4,74.2,
293,15254.2,4882.2,75.4,
294,15404.2,4928.6,76.6,
295,15556.8,4974,77.8,
296,15707.6,5020.6,78.8,
297,15857,5066.6,80,
298,16008.2,5114.4,81,
299,16158.8,5162.2,82.4,
300,16309.6,5209.8,83.8,
