,caesar (ms),karatsuba (ms),school (ms),
1,0,0,0,
101,28,9,0,
201,118,34,0,
301,291,82,1,
401,638,156,4,
501,1225,256,9,
601,1912,403,16,
701,2793,582,26,
801,4028,806,40,
901,5751,1067,57,
1001,8114,1382,80,
1101,10665,1765,106,
1201,13403,2206,137,
1301,16456,2703,174,
1401,19977,3249,217,
1501,24114,3837,265,
1601,29004,4499,321,
1701,34845,5230,385,
1801,41714,6010,457,
1901,49742,6861,537,
2001,59120,7790,625,
2101,69134,8835,722,
2201,79411,9987,833,
2301,89890,11217,952,
2401,100822,12538,1080,
2501,112305,13965,1218,
2601,124530,15462,1369,
2701,137614,17042,1532,
2801,151685,18677,1708,
2901,166857,20384,1897,
3001,183309,22148,2100,
3101,201148,24071,2314,
3201,222075,26510,2583,
3301,246338,28881,2869,
3401,271361,31072,3131,
3501,296631,33332,3405,
3601,324051,35692,3694,
3701,353828,38168,4003,
3801,386020,40731,4327,
3901,420714,43396,4665,
4001,457974,46172,5025,
4101,497856,49076,5401,
4201,537850,52181,5792,
4301,578032,55451,6202,
4401,618716,58899,6632,
4501,660032,62469,7078,
4601,701893,66145,7549,
4701,744473,70006,8038,
4801,788140,73972,8552,
4901,832785,78071,9088,
5001,878650,82281,9644,
5101,926285,86588,10226,
5201,975009,91242,10828,
5301,1.02541e+06,95857,11454,
5401,1.07763e+06,100592,12108,
5501,1.13172e+06,105397,12783,
5601,1.18791e+06,110292,13479,
5701,1.24625e+06,115319,14203,
5801,1.30691e+06,120425,14952,
5901,1.36997e+06,125638,15736,
6001,1.43562e+06,130956,16537,
6101,1.50397e+06,136362,17366,
6201,1.57528e+06,141996,18243,
6301,1.64982e+06,147860,19134,
6401,1.72791e+06,153887,20066,
6501,1.80962e+06,160043,21003,
6601,1.89491e+06,166307,21976,
6701,1.98386e+06,172726,22978,
6801,2.07741e+06,179335,24016,
6901,2.17462e+06,185997,25078,
7001,2.2754e+06,192790,26178,
7101,2.38037e+06,199631,27298,
7201,2.48975e+06,206659,28460,
7301,2.6036e+06,213914,29655,
7401,2.72202e+06,221280,30875,
7501,2.84532e+06,228832,32138,
7601,2.97345e+06,236488,33422,
7701,3.10659e+06,244311,34745,
7801,3.24452e+06,252273,36097,
7901,3.38773e+06,260370,37503,
8001,3.53647e+06,268632,38939,
8101,3.69038e+06,277071,40401,
8201,3.84921e+06,285770,41905,
8301,4.00869e+06,294823,43447,
8401,4.1682e+06,304158,45015,
8501,4.32841e+06,313757,46630,
8601,4.48899e+06,323573,48278,
8701,4.65049e+06,333532,49966,
8801,4.8126e+06,343813,51696,
8901,4.97578e+06,354294,53461,
9001,5.14024e+06,364952,55276,
9101,5.30564e+06,375806,57126,
9201,5.47238e+06,386812,59006,
9301,5.64043e+06,398203,60940,
9401,5.81038e+06,409713,62931,
9501,5.98238e+06,421440,64942,
9601,6.15609e+06,433335,66995,
9701,6.33212e+06,445373,69098,
9801,6.51036e+06,457652,71253,
9901,6.69079e+06,470067,73443,
10001,6.87362e+06,482639,75674,
