,caesar (ms),karatsuba (ms),school (ms),
1,0,0,0,
101,21.6667,9.33333,0,
201,94.6667,35.6667,0.666667,
301,248.333,84.6667,1.66667,
401,522,158.667,5,
501,1030.67,262,10,
601,1646.33,414.333,17,
701,2424.33,598.333,27,
801,3502.33,820.667,41,
901,5026.67,1097.67,59,
1001,7083.33,1411.33,81.3333,
