,caesar (ms),karatsuba (ms),school (ms),
1,0,0,0,
101,22.6667,9.66667,0,
201,99,37,0.333333,
301,269,89.3333,1.66667,
401,573.667,170.333,4.66667,
501,1146,278.667,10,
601,1803.67,432.667,17.6667,
701,2650.67,621.667,28.6667,
801,3819.33,854,43.3333,
901,5451,1131.67,60.6667,
1001,7676,1466,82.3333,
